,DE_LU_GEO,ES_GEO
2020-07-24,1771.0,0.0
2020-07-25,1717.0,0.0
2020-07-26,1776.0,0.0
2020-07-27,1707.0,0.0
2020-07-28,1541.0,0.0
2020-07-29,1702.0,0.0
2020-07-30,1628.0,0.0
2020-07-31,1377.0,0.0
2020-08-01,1287.0,0.0
2020-08-02,1660.0,0.0
2020-08-03,1593.0,0.0
2020-08-04,1565.0,0.0
2020-08-05,1495.0,0.0
2020-08-06,1414.0,0.0
2020-08-07,1315.0,0.0
2020-08-08,1292.0,0.0
2020-08-09,1260.0,0.0
2020-08-10,1272.0,0.0
2020-08-11,1237.0,0.0
2020-08-12,1144.0,0.0
2020-08-13,1221.0,0.0
2020-08-14,1452.0,0.0
2020-08-15,1678.0,0.0
2020-08-16,1669.0,0.0
2020-08-17,1710.0,0.0
2020-08-18,1615.0,0.0
2020-08-19,1751.0,0.0
2020-08-20,1613.0,0.0
2020-08-21,1492.0,0.0
2020-08-22,1673.0,0.0
2020-08-23,1712.0,0.0
2020-08-24,1793.0,0.0
2020-08-25,1739.0,0.0
2020-08-26,1531.0,0.0
2020-08-27,1761.0,0.0
2020-08-28,1715.0,0.0
2020-08-29,1916.0,0.0
2020-08-30,1892.0,0.0
2020-08-31,1630.0,0.0
2020-09-01,1509.0,0.0
2020-09-02,1515.0,0.0
2020-09-03,1474.0,0.0
2020-09-04,1366.0,0.0
2020-09-05,1381.0,0.0
2020-09-06,1584.0,0.0
2020-09-07,1807.0,0.0
2020-09-08,1895.0,0.0
2020-09-09,1784.0,0.0
2020-09-10,1756.0,0.0
2020-09-11,1796.0,0.0
2020-09-12,1747.0,0.0
2020-09-13,1707.0,0.0
2020-09-14,1734.0,0.0
2020-09-15,1650.0,0.0
2020-09-16,1642.0,0.0
2020-09-17,1737.0,0.0
2020-09-18,2020.0,0.0
2020-09-19,2253.0,0.0
2020-09-20,2198.0,0.0
2020-09-21,2157.0,0.0
2020-09-22,2103.0,0.0
2020-09-23,2094.0,0.0
2020-09-24,2137.0,0.0
2020-09-25,2508.0,0.0
2020-09-26,2592.0,0.0
2020-09-27,2528.0,0.0
2020-09-28,2400.0,0.0
2020-09-29,2167.0,0.0
2020-09-30,1887.0,0.0
2020-10-01,2401.0,0.0
2020-10-02,2225.0,0.0
2020-10-03,2343.0,0.0
2020-10-04,2220.0,0.0
2020-10-05,2106.0,0.0
2020-10-06,2083.0,0.0
2020-10-07,2096.0,0.0
2020-10-08,2071.0,0.0
2020-10-09,2024.0,0.0
2020-10-10,2199.0,0.0
2020-10-11,2118.0,0.0
2020-10-12,2076.0,0.0
2020-10-13,1901.0,0.0
2020-10-14,2014.0,0.0
2020-10-15,2246.0,0.0
2020-10-16,2171.0,0.0
2020-10-17,2208.0,0.0
2020-10-18,2006.0,0.0
2020-10-19,1955.0,0.0
2020-10-20,1825.0,0.0
2020-10-21,1834.0,0.0
2020-10-22,1815.0,0.0
2020-10-23,1819.0,0.0
