,OECDplus6_WIP
2020-10-17,131.29923387399833
2020-10-18,131.29923387399833
2020-10-19,131.29923387399833
2020-10-20,131.29923387399833
2020-10-21,131.29923387399833
2020-10-22,131.29923387399833
2020-10-23,131.29923387399833
2020-10-24,131.29923387399833
2020-10-25,131.29923387399833
2020-10-26,131.29923387399833
2020-10-27,131.29923387399833
2020-10-28,131.29923387399833
2020-10-29,131.29923387399833
2020-10-30,131.29923387399833
2020-10-31,131.29923387399833
2020-11-01,132.87069357636253
2020-11-02,132.87069357636253
2020-11-03,132.87069357636253
2020-11-04,132.87069357636253
2020-11-05,132.87069357636253
2020-11-06,132.87069357636253
2020-11-07,132.87069357636253
2020-11-08,132.87069357636253
2020-11-09,132.87069357636253
2020-11-10,132.87069357636253
2020-11-11,132.87069357636253
2020-11-12,132.87069357636253
2020-11-13,132.87069357636253
2020-11-14,132.87069357636253
2020-11-15,132.87069357636253
2020-11-16,132.87069357636253
2020-11-17,132.87069357636253
2020-11-18,132.87069357636253
2020-11-19,132.87069357636253
2020-11-20,132.87069357636253
2020-11-21,132.87069357636253
2020-11-22,132.87069357636253
2020-11-23,132.87069357636253
2020-11-24,132.87069357636253
2020-11-25,132.87069357636253
2020-11-26,132.87069357636253
2020-11-27,132.87069357636253
2020-11-28,132.87069357636253
2020-11-29,132.87069357636253
2020-11-30,132.87069357636253
2020-12-01,134.67584342685754
2020-12-02,134.67584342685754
2020-12-03,134.67584342685754
2020-12-04,134.67584342685754
2020-12-05,134.67584342685754
2020-12-06,134.67584342685754
2020-12-07,134.67584342685754
2020-12-08,134.67584342685754
2020-12-09,134.67584342685754
2020-12-10,134.67584342685754
2020-12-11,134.67584342685754
2020-12-12,134.67584342685754
2020-12-13,134.67584342685754
2020-12-14,134.67584342685754
2020-12-15,134.67584342685754
2020-12-16,134.67584342685754
2020-12-17,134.67584342685754
2020-12-18,134.67584342685754
2020-12-19,134.67584342685754
2020-12-20,134.67584342685754
2020-12-21,134.67584342685754
2020-12-22,134.67584342685754
2020-12-23,134.67584342685754
2020-12-24,134.67584342685754
2020-12-25,134.67584342685754
2020-12-26,134.67584342685754
2020-12-27,134.67584342685754
2020-12-28,134.67584342685754
2020-12-29,134.67584342685754
2020-12-30,134.67584342685754
2020-12-31,134.67584342685754
2021-01-01,136.5167747812277
2021-01-02,136.5167747812277
2021-01-03,136.5167747812277
2021-01-04,136.5167747812277
2021-01-05,136.5167747812277
2021-01-06,136.5167747812277
2021-01-07,136.5167747812277
2021-01-08,136.5167747812277
2021-01-09,136.5167747812277
2021-01-10,136.5167747812277
2021-01-11,136.5167747812277
2021-01-12,136.5167747812277
2021-01-13,136.5167747812277
2021-01-14,136.5167747812277
2021-01-15,136.5167747812277
2021-01-16,136.5167747812277
2021-01-17,136.5167747812277
2021-01-18,136.5167747812277
2021-01-19,136.5167747812277
2021-01-20,136.5167747812277
2021-01-21,136.5167747812277
2021-01-22,136.5167747812277
2021-01-23,136.5167747812277
2021-01-24,136.5167747812277
2021-01-25,136.5167747812277
2021-01-26,136.5167747812277
2021-01-27,136.5167747812277
2021-01-28,136.5167747812277
2021-01-29,136.5167747812277
2021-01-30,136.5167747812277
2021-01-31,136.5167747812277
2021-02-01,136.46529123198786
2021-02-02,136.46529123198786
2021-02-03,136.46529123198786
2021-02-04,136.46529123198786
2021-02-05,136.46529123198786
2021-02-06,136.46529123198786
2021-02-07,136.46529123198786
2021-02-08,136.46529123198786
2021-02-09,136.46529123198786
2021-02-10,136.46529123198786
2021-02-11,136.46529123198786
2021-02-12,136.46529123198786
2021-02-13,136.46529123198786
2021-02-14,136.46529123198786
2021-02-15,136.46529123198786
2021-02-16,136.46529123198786
2021-02-17,136.46529123198786
2021-02-18,136.46529123198786
2021-02-19,136.46529123198786
2021-02-20,136.46529123198786
2021-02-21,136.46529123198786
2021-02-22,136.46529123198786
2021-02-23,136.46529123198786
2021-02-24,136.46529123198786
2021-02-25,136.46529123198786
2021-02-26,136.46529123198786
2021-02-27,136.46529123198786
2021-02-28,136.46529123198786
2021-03-01,136.9894303934594
2021-03-02,136.9894303934594
2021-03-03,136.9894303934594
2021-03-04,136.9894303934594
2021-03-05,136.9894303934594
2021-03-06,136.9894303934594
2021-03-07,136.9894303934594
2021-03-08,136.9894303934594
2021-03-09,136.9894303934594
2021-03-10,136.9894303934594
2021-03-11,136.9894303934594
