,European_News_Index,Germany_News_Index,Italy_News_Index,UK_News_Index,France_News_Index,Spain_News_Index
2021-02-05,185.27867126464844,223.45362854003906,136.78912353515625,172.0104522705078,226.4303436279297,126.63814544677734
2021-02-06,185.27867126464844,223.45362854003906,136.78912353515625,172.0104522705078,226.4303436279297,126.63814544677734
2021-02-07,185.27867126464844,223.45362854003906,136.78912353515625,172.0104522705078,226.4303436279297,126.63814544677734
2021-02-08,185.27867126464844,223.45362854003906,136.78912353515625,172.0104522705078,226.4303436279297,126.63814544677734
2021-02-09,185.27867126464844,223.45362854003906,136.78912353515625,172.0104522705078,226.4303436279297,126.63814544677734
2021-02-10,185.27867126464844,223.45362854003906,136.78912353515625,172.0104522705078,226.4303436279297,126.63814544677734
2021-02-11,185.27867126464844,223.45362854003906,136.78912353515625,172.0104522705078,226.4303436279297,126.63814544677734
2021-02-12,185.27867126464844,223.45362854003906,136.78912353515625,172.0104522705078,226.4303436279297,126.63814544677734
2021-02-13,185.27867126464844,223.45362854003906,136.78912353515625,172.0104522705078,226.4303436279297,126.63814544677734
2021-02-14,185.27867126464844,223.45362854003906,136.78912353515625,172.0104522705078,226.4303436279297,126.63814544677734
2021-02-15,185.27867126464844,223.45362854003906,136.78912353515625,172.0104522705078,226.4303436279297,126.63814544677734
2021-02-16,185.27867126464844,223.45362854003906,136.78912353515625,172.0104522705078,226.4303436279297,126.63814544677734
2021-02-17,185.27867126464844,223.45362854003906,136.78912353515625,172.0104522705078,226.4303436279297,126.63814544677734
2021-02-18,185.27867126464844,223.45362854003906,136.78912353515625,172.0104522705078,226.4303436279297,126.63814544677734
2021-02-19,185.27867126464844,223.45362854003906,136.78912353515625,172.0104522705078,226.4303436279297,126.63814544677734
2021-02-20,185.27867126464844,223.45362854003906,136.78912353515625,172.0104522705078,226.4303436279297,126.63814544677734
2021-02-21,185.27867126464844,223.45362854003906,136.78912353515625,172.0104522705078,226.4303436279297,126.63814544677734
2021-02-22,185.27867126464844,223.45362854003906,136.78912353515625,172.0104522705078,226.4303436279297,126.63814544677734
2021-02-23,185.27867126464844,223.45362854003906,136.78912353515625,172.0104522705078,226.4303436279297,126.63814544677734
2021-02-24,185.27867126464844,223.45362854003906,136.78912353515625,172.0104522705078,226.4303436279297,126.63814544677734
2021-02-25,185.27867126464844,223.45362854003906,136.78912353515625,172.0104522705078,226.4303436279297,126.63814544677734
2021-02-26,185.27867126464844,223.45362854003906,136.78912353515625,172.0104522705078,226.4303436279297,126.63814544677734
2021-02-27,185.27867126464844,223.45362854003906,136.78912353515625,172.0104522705078,226.4303436279297,126.63814544677734
