,DE_LU_BIO,FR_BIO,IT_NORD_BIO,ES_BIO
2019-11-25,461074.0,7567.0,4788.0,7091.0
2019-11-26,460577.0,7865.0,4679.0,8294.0
2019-11-27,460441.0,7880.0,3959.0,8493.0
2019-11-28,459253.0,7859.0,4114.0,8696.0
2019-11-29,461297.0,7879.0,4557.0,8752.0
2019-11-30,462590.0,7884.0,4613.0,8418.0
2019-12-01,464136.0,7729.0,4645.0,8278.0
2019-12-02,461145.0,7734.0,4130.0,8255.0
2019-12-03,463032.0,7882.0,4322.0,8514.0
2019-12-04,462547.0,7881.0,4406.0,8044.0
2019-12-05,462481.0,8013.0,4366.0,8313.0
2019-12-06,461599.0,8056.0,4490.0,8930.0
2019-12-07,463948.0,7977.0,4546.0,9151.0
2019-12-08,463966.0,7970.0,4488.0,9059.0
2019-12-09,461052.0,7966.0,4088.0,9026.0
2019-12-10,459625.0,8057.0,3847.0,8450.0
2019-12-11,459795.0,7895.0,3842.0,8292.0
2019-12-12,458601.0,7622.0,3593.0,7441.0
2019-12-13,464745.0,7735.0,3856.0,7684.0
2019-12-14,466520.0,7855.0,3748.0,8124.0
2019-12-15,464967.0,7999.0,3598.0,8644.0
2019-12-16,459507.0,8205.0,3564.0,9076.0
2019-12-17,461768.0,7977.0,3804.0,9185.0
2019-12-18,464121.0,8144.0,3720.0,8804.0
2019-12-19,467523.0,7911.0,3553.0,5647.0
2019-12-20,471093.0,8376.0,3495.0,6298.0
2019-12-21,472004.0,8422.0,3543.0,7061.0
2019-12-22,471016.0,7959.0,3437.0,7105.0
2019-12-23,468906.0,7844.0,3523.0,7475.0
2019-12-24,467546.0,8225.0,3706.0,5836.0
2019-12-25,466509.0,8119.0,4051.0,7224.0
2019-12-26,467246.0,8148.0,4003.0,7155.0
2019-12-27,465489.0,8196.0,3458.0,7360.0
2019-12-28,462750.0,8271.0,3860.0,7279.0
2019-12-29,467859.0,8247.0,4269.0,6727.0
2019-12-30,467515.0,8223.0,4285.0,6670.0
2019-12-31,469007.0,8320.0,4202.0,6755.0
2020-01-01,466593.0,8323.0,3962.0,6374.0
2020-01-02,464514.0,8211.0,3998.0,6458.0
2020-01-03,466672.0,7936.0,4058.0,6960.0
2020-01-04,468331.0,7964.0,4255.0,7569.0
2020-01-05,463899.0,7941.0,4201.0,8166.0
2020-01-06,465363.0,7984.0,3879.0,8883.0
2020-01-07,463779.0,7982.0,3461.0,9129.0
2020-01-08,464307.0,8183.0,3553.0,9693.0
2020-01-09,465610.0,8530.0,3780.0,9557.0
2020-01-10,467389.0,8242.0,3957.0,9049.0
2020-01-11,470601.0,8148.0,4036.0,9564.0
2020-01-12,460127.0,7737.0,3976.0,9355.0
2020-01-13,457100.0,7637.0,3805.0,9613.0
2020-01-14,456215.0,7820.0,3802.0,10278.0
2020-01-15,454331.0,7801.0,3852.0,10354.0
2020-01-16,453854.0,7800.0,3901.0,10518.0
2020-01-17,457175.0,7765.0,3945.0,10485.0
2020-01-18,462206.0,7757.0,3956.0,10794.0
2020-01-19,467658.0,7756.0,3854.0,10135.0
2020-01-20,470603.0,7748.0,3611.0,10016.0
2020-01-21,469502.0,7806.0,3709.0,9962.0
2020-01-22,470934.0,7814.0,3966.0,9376.0
2020-01-23,469535.0,7648.0,4033.0,8630.0
2020-01-24,470714.0,7764.0,3995.0,8789.0
2020-01-25,472808.0,7776.0,3977.0,9043.0
2020-01-26,472569.0,7995.0,4060.0,8970.0
2020-01-27,470549.0,7998.0,3848.0,8919.0
2020-01-28,465948.0,7828.0,4263.0,8788.0
2020-01-29,464878.0,7631.0,4329.0,9845.0
2020-01-30,467008.0,7170.0,4306.0,10651.0
2020-01-31,465442.0,7394.0,4262.0,9748.0
2020-02-01,468182.0,7884.0,4296.0,9628.0
2020-02-02,464049.0,7978.0,4028.0,9013.0
2020-02-03,461978.0,7995.0,3946.0,10161.0
2020-02-04,468326.0,7991.0,4188.0,10651.0
2020-02-05,468697.0,7805.0,3998.0,10554.0
2020-02-06,469572.0,8255.0,4001.0,11002.0
2020-02-07,468621.0,8350.0,4043.0,10418.0
2020-02-08,468233.0,8318.0,3992.0,10178.0
2020-02-09,466201.0,8376.0,4032.0,9556.0
2020-02-10,463416.0,8359.0,3761.0,9142.0
2020-02-11,466598.0,8019.0,3796.0,8850.0
2020-02-12,461546.0,8094.0,3911.0,8167.0
2020-02-13,466274.0,8084.0,4129.0,8104.0
2020-02-14,466885.0,8056.0,4147.0,10524.0
2020-02-15,467987.0,8081.0,3971.0,10933.0
2020-02-16,468933.0,8243.0,4351.0,10070.0
2020-02-17,467232.0,8219.0,4082.0,9770.0
2020-02-18,466702.0,8438.0,3999.0,10318.0
2020-02-19,456455.0,8257.0,4140.0,9674.0
2020-02-20,464793.0,8352.0,4202.0,11201.0
2020-02-21,465287.0,8430.0,4296.0,12021.0
2020-02-22,467594.0,8428.0,4232.0,12013.0
2020-02-23,467406.0,8361.0,4098.0,11538.0
2020-02-24,467813.0,8434.0,4276.0,10464.0
2020-02-25,468860.0,8332.0,4226.0,10288.0
2020-02-26,468942.0,8319.0,4216.0,9562.0
2020-02-27,467146.0,7948.0,4215.0,9823.0
2020-02-28,463012.0,7729.0,4288.0,10078.0
2020-02-29,464935.0,7634.0,4325.0,9921.0
2020-03-01,463004.0,6918.0,4254.0,9628.0
2020-03-02,453153.0,7150.0,4092.0,8773.0
2020-03-03,449586.0,7609.0,3514.0,7458.0
2020-03-04,454658.0,7679.0,4254.0,7626.0
2020-03-05,463882.0,7939.0,3788.0,8645.0
2020-03-06,467170.0,7875.0,4244.0,9144.0
2020-03-07,467196.0,7738.0,4346.0,9360.0
2020-03-08,465578.0,7581.0,4287.0,9779.0
