,DE_LU_HYDROSTORAGE,FR_HYDROSTORAGE,IT_NORD_HYDROSTORAGE
2020-06-11,67216.0,9770.0,3093.0
2020-06-12,75131.0,11272.0,9102.0
2020-06-13,73501.0,5996.0,5847.0
2020-06-14,71622.0,11487.0,1427.0
2020-06-15,111645.0,24459.0,4548.0
2020-06-16,111730.0,25117.0,4570.0
2020-06-17,71880.0,24842.0,5534.0
2020-06-18,80784.0,23604.0,13295.0
2020-06-19,92627.0,17051.0,9225.0
2020-06-20,82974.0,6538.0,10254.0
2020-06-21,42554.0,3334.0,6376.0
2020-06-22,111368.0,23112.0,11594.0
2020-06-23,102036.0,16242.0,13996.0
2020-06-24,92742.0,22647.0,13725.0
2020-06-25,93177.0,23451.0,13183.0
2020-06-26,112443.0,23080.0,8717.0
2020-06-27,83293.0,7581.0,6114.0
2020-06-28,59267.0,4848.0,5367.0
2020-06-29,129105.0,16764.0,10876.0
2020-06-30,101954.0,17197.0,11234.0
2020-07-01,117569.0,15110.0,8562.0
2020-07-02,143066.0,14761.0,10335.0
2020-07-03,134744.0,13587.0,7547.0
2020-07-04,128177.0,1333.0,4980.0
2020-07-05,99523.0,3747.0,5756.0
2020-07-06,100607.0,10307.0,10588.0
2020-07-07,126766.0,9809.0,12576.0
2020-07-08,167472.0,14175.0,16763.0
2020-07-09,99103.0,14714.0,14399.0
2020-07-10,108314.0,8036.0,8564.0
2020-07-11,82130.0,3040.0,4661.0
2020-07-12,63896.0,904.0,2936.0
2020-07-13,117002.0,12714.0,7860.0
2020-07-14,95113.0,8331.0,9253.0
2020-07-15,161298.0,13883.0,14614.0
2020-07-16,132814.0,13977.0,16882.0
2020-07-17,111508.0,13485.0,7835.0
2020-07-18,73251.0,4504.0,2539.0
2020-07-19,56433.0,1476.0,3386.0
2020-07-20,99610.0,12724.0,8683.0
2020-07-21,100672.0,11501.0,11265.0
2020-07-22,119970.0,13337.0,14717.0
2020-07-23,128515.0,11856.0,12192.0
2020-07-24,111231.0,7692.0,6042.0
2020-07-25,97939.0,1159.0,2783.0
2020-07-26,75984.0,4816.0,3920.0
2020-07-27,129163.0,11979.0,7736.0
2020-07-28,119236.0,9296.0,12173.0
2020-07-29,133587.0,14547.0,16820.0
2020-07-30,128221.0,11877.0,15441.0
2020-07-31,145636.0,15454.0,19533.0
2020-08-01,111040.0,5745.0,6558.0
2020-08-02,58783.0,2377.0,1932.0
2020-08-03,126152.0,10685.0,12291.0
2020-08-04,117349.0,11753.0,11986.0
2020-08-05,120159.0,9480.0,9830.0
2020-08-06,139959.0,11179.0,9631.0
2020-08-07,161412.0,14056.0,8485.0
2020-08-08,115325.0,5068.0,3166.0
2020-08-09,73680.0,2100.0,5966.0
2020-08-10,157291.0,15088.0,9804.0
2020-08-11,129669.0,15406.0,9275.0
2020-08-12,121229.0,14099.0,7934.0
2020-08-13,143401.0,13251.0,7886.0
2020-08-14,147911.0,16047.0,8748.0
2020-08-15,83993.0,4964.0,6465.0
2020-08-16,49612.0,4797.0,6986.0
2020-08-17,182619.0,15149.0,10208.0
2020-08-18,142068.0,12435.0,6815.0
2020-08-19,122380.0,7384.0,5179.0
2020-08-20,147280.0,4485.0,6722.0
2020-08-21,124240.0,5157.0,6388.0
2020-08-22,92932.0,6182.0,4863.0
2020-08-23,43837.0,805.0,4188.0
2020-08-24,125546.0,13339.0,15420.0
2020-08-25,93007.0,5360.0,8471.0
2020-08-26,80745.0,10622.0,12508.0
2020-08-27,110926.0,13393.0,18864.0
2020-08-28,118540.0,6626.0,8660.0
2020-08-29,85454.0,1981.0,4368.0
2020-08-30,46341.0,544.0,1741.0
2020-08-31,146910.0,11352.0,20914.0
2020-09-01,107595.0,13795.0,10930.0
2020-09-02,140627.0,14233.0,16479.0
2020-09-03,96621.0,13774.0,10820.0
2020-09-04,148023.0,11288.0,10834.0
2020-09-05,66940.0,2262.0,5960.0
2020-09-06,61013.0,2523.0,6788.0
2020-09-07,107514.0,16076.0,7397.0
2020-09-08,117118.0,12767.0,12279.0
2020-09-09,107875.0,15703.0,15077.0
