,DE_LU_SUN,FR_SUN,IT_NORD_SUN,ES_SUN
2020-02-26,229198.0,26427.0,18375.0,58850.0
2020-02-27,201111.0,12715.0,19344.0,58295.0
2020-02-28,324447.0,24588.0,25678.0,48206.0
2020-02-29,294761.0,15592.0,10150.0,27166.0
2020-03-01,396689.0,22881.0,4730.0,24811.0
2020-03-02,390086.0,18177.0,2835.0,33744.0
2020-03-03,280349.0,17727.0,13288.0,27812.0
2020-03-04,340754.0,17278.0,18064.0,37532.0
2020-03-05,309322.0,11810.0,10827.0,32362.0
2020-03-06,146069.0,25744.0,17587.0,50238.0
2020-03-07,281591.0,32747.0,19718.0,56262.0
2020-03-08,419403.0,28158.0,25738.0,58709.0
2020-03-09,314852.0,31585.0,13665.0,58202.0
2020-03-10,121845.0,21015.0,18163.0,62182.0
2020-03-11,321023.0,31081.0,25643.0,58032.0
2020-03-12,449378.0,24240.0,17411.0,49253.0
2020-03-13,475292.0,41269.0,13990.0,48136.0
2020-03-14,597611.0,34929.0,6037.0,58355.0
2020-03-15,702290.0,42593.0,24793.0,45459.0
2020-03-16,707141.0,20407.0,27908.0,23895.0
2020-03-17,467915.0,29994.0,26925.0,31694.0
2020-03-18,653467.0,46481.0,26971.0,31526.0
2020-03-19,580783.0,44716.0,27433.0,31720.0
2020-03-20,422364.0,44335.0,21031.0,25918.0
2020-03-21,363311.0,40680.0,26391.0,23938.0
2020-03-22,844691.0,39435.0,14572.0,31039.0
2020-03-23,910678.0,37290.0,23495.0,35255.0
2020-03-24,900379.0,41750.0,28013.0,27214.0
2020-03-25,897566.0,49860.0,16092.0,48241.0
2020-03-26,755400.0,46424.0,6050.0,66799.0
2020-03-27,830969.0,46837.0,10152.0,42546.0
2020-03-28,842234.0,50636.0,27971.0,63476.0
2020-03-29,317501.0,34613.0,23709.0,67117.0
2020-03-30,658924.0,31648.0,18492.0,22393.0
2020-03-31,716413.0,46032.0,21140.0,21973.0
2020-04-01,848591.0,44615.0,30109.0,37782.0
2020-04-02,767184.0,44135.0,35642.0,44687.0
2020-04-03,550392.0,50013.0,35031.0,74702.0
2020-04-04,845608.0,57956.0,34097.0,51879.0
2020-04-05,956613.0,56603.0,35739.0,51397.0
2020-04-06,940684.0,38624.0,34590.0,30970.0
2020-04-07,897711.0,44720.0,35424.0,43178.0
2020-04-08,905383.0,48978.0,36078.0,55656.0
2020-04-09,844879.0,56499.0,35090.0,30670.0
2020-04-10,898545.0,56586.0,34876.0,35782.0
2020-04-11,940530.0,54325.0,34414.0,44275.0
2020-04-12,844218.0,43084.0,34177.0,52290.0
2020-04-13,656243.0,36002.0,25571.0,42242.0
2020-04-14,747521.0,59536.0,28586.0,44610.0
2020-04-15,925710.0,54403.0,31691.0,31876.0
2020-04-16,920240.0,44746.0,29669.0,38663.0
2020-04-17,921472.0,38877.0,29522.0,34420.0
2020-04-18,778828.0,37935.0,30264.0,44619.0
2020-04-19,847432.0,21613.0,27495.0,46876.0
2020-04-20,1011948.0,24635.0,6642.0,41082.0
2020-04-21,1016485.0,22088.0,9772.0,33934.0
2020-04-22,1048992.0,31276.0,34428.0,57697.0
2020-04-23,1025059.0,43988.0,35277.0,58680.0
2020-04-24,878866.0,48383.0,34526.0,58592.0
2020-04-25,848592.0,48788.0,34909.0,36930.0
2020-04-26,943531.0,46700.0,31926.0,38768.0
2020-04-27,894882.0,32132.0,26827.0,39896.0
2020-04-28,592365.0,33018.0,15516.0,55542.0
2020-04-29,464769.0,40393.0,28328.0,78470.0
2020-04-30,501802.0,33616.0,23985.0,51546.0
2020-05-01,598676.0,25122.0,21952.0,71564.0
2020-05-02,578970.0,32083.0,34151.0,89846.0
2020-05-03,709798.0,45942.0,33705.0,89816.0
2020-05-04,560010.0,53967.0,33869.0,69425.0
2020-05-05,801934.0,44030.0,26369.0,73593.0
2020-05-06,1054892.0,58830.0,22728.0,82664.0
2020-05-07,1015697.0,57506.0,33887.0,56758.0
2020-05-08,1012711.0,49332.0,31272.0,80388.0
2020-05-09,813155.0,41111.0,33990.0,49933.0
2020-05-10,654572.0,21748.0,26880.0,44105.0
2020-05-11,331738.0,22586.0,17302.0,49216.0
2020-05-12,854535.0,38839.0,24021.0,26803.0
2020-05-13,592259.0,27997.0,13992.0,47478.0
2020-05-14,693516.0,37609.0,23389.0,28267.0
2020-05-15,745368.0,48235.0,22170.0,41124.0
2020-05-16,964296.0,49976.0,17995.0,52953.0
2020-05-17,1011857.0,61229.0,29356.0,71357.0
2020-05-18,970802.0,63545.0,24650.0,94738.0
2020-05-19,908132.0,63013.0,16328.0,87413.0
2020-05-20,715150.0,63693.0,20485.0,96411.0
2020-05-21,1067546.0,60269.0,32439.0,92833.0
2020-05-22,621407.0,51664.0,27403.0,94251.0
2020-05-23,447788.0,35179.0,27898.0,91915.0
